fileName,totalCount,surpriseCount,index_pairs,surpriseScore,threshold
34961.txt,13.0,1,"11,12|",0.076923076923076927,0.30071199999999998
140070.txt,28.0,3,"11,12|12,13|13,14|",0.10714285714285714,0.3857005
66955.txt,37.0,2,"12,13|15,16|",0.054054054054054057,0.33451900000000001
239279.txt,21.0,1,"19,20|",0.047619047619047616,0.26936900000000003
71597.txt,33.0,3,"16,17|26,27|27,28|",0.090909090909090912,0.32730300000000001
114353.txt,19.0,2,"13,14|16,17|",0.10526315789473684,0.37793549999999998
206089.txt,29.0,1,"20,21|",0.034482758620689655,0.33501199999999998
256696.txt,35.0,1,"34,35|",0.028571428571428571,0.34165499999999999
82351.txt,20.0,1,"6,7|",0.050000000000000003,0.37748625000000002
77870.txt,25.0,2,"18,19|24,25|",0.080000000000000002,0.35017399999999999
250581.txt,27.0,1,"11,12|",0.037037037037037035,0.3652125
183007.txt,49.0,3,"22,23|29,30|35,36|",0.061224489795918366,0.36502099999999998
197700.txt,22.0,3,"1,2|5,6|10,11|",0.13636363636363635,0.37925949999999997
120021.txt,20.0,1,"4,5|",0.050000000000000003,0.36050450000000006
52399.txt,24.0,1,"10,11|",0.041666666666666664,0.28940774999999996
248331.txt,22.0,2,"13,14|19,20|",0.090909090909090912,0.35835075
247002.txt,23.0,2,"16,17|19,20|",0.086956521739130432,0.25162600000000002
42820.txt,23.0,1,"10,11|",0.043478260869565216,0.26201849999999999
179626.txt,10.0,1,"6,7|",0.10000000000000001,0.22848625
68763.txt,24.0,2,"22,23|23,24|",0.083333333333333329,0.37439549999999994
86862.txt,33.0,2,"3,4|20,21|",0.060606060606060608,0.38511300000000004
270692.txt,15.0,1,"7,8|",0.066666666666666666,0.36628000000000005
209423.txt,24.0,2,"6,7|13,14|",0.083333333333333329,0.39760400000000001
64165.txt,23.0,3,"3,4|13,14|14,15|",0.13043478260869565,0.237039
138646.txt,11.0,1,"10,11|",0.090909090909090912,0.3209495
242634.txt,17.0,2,"9,10|10,11|",0.11764705882352941,0.20688800000000002
173337.txt,20.0,2,"1,2|6,7|",0.10000000000000001,0.29675049999999997
133706.txt,46.0,5,"4,5|31,32|32,33|41,42|42,43|",0.10869565217391304,0.36404274999999997
