doc,total count,surprise count,lines,surprise score,threshold
221230.txt,12,1,"7,8|",0.083333333,0.165337783
95765.txt,22,2,"0,1|19,20|",0.090909091,0.247025402
147119.txt,23,1,"0,1|",0.043478261,0.247860255
133868.txt,20,1,"0,1|",0.05,0.252080923
221218.txt,11,1,"4,5|",0.090909091,0.30155941
186779.txt,9,1,"2,3|",0.111111111,0.17027552
208107.txt,14,2,"1,2|8,9|",0.142857143,0.2954306
156202.txt,18,2,"0,1|1,2|",0.111111111,0.207043458
228016.txt,16,1,"2,3|",0.0625,0.325697992
112454.txt,19,2,"9,10|10,11|",0.105263158,0.24204583
100736.txt,10,1,"5,6|",0.1,0.266048105
92552.txt,11,2,"8,9|9,10|",0.181818182,0.33330275
222261.txt,12,1,"3,4|",0.083333333,0.243967402
246056.txt,13,1,"9,10|",0.076923077,0.16812283
74014.txt,16,2,"13,14|14,15|",0.125,0.22998816
72303.txt,7,1,"5,6|",0.142857143,0.27539526
92591.txt,16,1,"14,15|",0.0625,0.189529095
81466.txt,12,1,"8,9|",0.083333333,0.2119237
151425.txt,14,1,"11,12|",0.071428571,0.222780738
148606.txt,11,1,"4,5|",0.090909091,0.17068519
67646.txt,17,1,"15,16|",0.058823529,0.18469834
33565.txt,16,1,"5,6|",0.0625,0.174003623
70460.txt,8,1,"5,6|",0.125,0.22368014
211708.txt,8,1,"3,4|",0.125,0.29833268
154763.txt,11,1,"8,9|",0.090909091,0.20373535
136858.txt,14,2,"6,7|12,13|",0.142857143,0.192766218
205580.txt,12,2,"1,2|2,3|",0.166666667,0.231629438
149040.txt,19,1,"0,1|",0.052631579,0.181925585
239537.txt,11,1,"3,4|",0.090909091,0.31624165
61960.txt,13,1,"9,10|",0.076923077,0.20141453
270863.txt,12,2,"9,10|10,11|",0.166666667,0.189542249
252368.txt,13,1,"0,1|",0.076923077,0.20136815
67445.txt,24,1,"1,2|",0.041666667,0.169711797
63804.txt,21,2,"16,17|17,18|",0.095238095,0.15878327
87200.txt,8,1,"3,4|",0.125,0.122325318
199704.txt,13,1,"6,7|",0.076923077,0.2306469
101993.txt,15,1,"12,13|",0.066666667,0.19823923
93922.txt,10,1,"2,3|",0.1,0.14836747
53290.txt,7,1,"4,5|",0.142857143,0.15213374
39049.txt,16,1,"12,13|",0.0625,0.234660637
117303.txt,13,1,"2,3|",0.076923077,0.12278457
213877.txt,19,2,"0,1|16,17|",0.105263158,0.249908945
132801.txt,10,1,"2,3|",0.1,0.216967423
221635.txt,8,1,"5,6|",0.125,0.234775105
64399.txt,7,1,"5,6|",0.142857143,0.09394423
152930.txt,10,1,"2,3|",0.1,0.12084306
237862.txt,21,1,"16,17|",0.047619048,0.19164333
114959.txt,6,1,"2,3|",0.166666667,0.157890395
7184.txt,13,1,"7,8|",0.076923077,0.25954577
248913.txt,7,1,"1,2|",0.142857143,0.20874807
146986.txt,7,1,"2,3|",0.142857143,0.28511822
155050.txt,10,1,"6,7|",0.1,0.266494527
78834.txt,11,1,"7,8|",0.090909091,0.16277767
